agera,agerar,agerade,agerat,действовать,act
akta,aktar,aktade,aktat,беречься,take care
ana,anar,anade,anat,предчувствовать,suspect
anföra,anför,anförde,anfört,приводить аргумент,adduce
ange,anger,angav,angett,указывать,indicate
anklaga,anklagar,anklagade,anklagat,обвинять,accuse
anlända,anländer,anlände,anlänt,прибывать,arrive
anmäla,anmäler,anmälde,anmält,уведомлять,report
anpassa,anpassar,anpassade,anpassat,адаптировать,adapt
anse,anser,ansåg,ansett,полагать,consider
ansluta,ansluter,anslöt,anslutit,соединять,connect
anta,antar,antog,antagit,принимать,accept
använda,använder,använde,använt,использовать,use
arbeta,arbetar,arbetade,arbetat,работать,work
avgöra,avgör,avgjorde,avgjort,определять,decide
avse,avser,avsåg,avsett,намереваться,intend
avskaffa,avskaffar,avskaffade,avskaffat,ликвидировать,abolish
avsluta,avslutar,avslutade,avslutat,завершать,complete
avslöja,avslöjar,avslöjade,avslöjat,раскрывать,disclose
avstå,avstår,avstod,avstått,воздерживаться,abstain
be,ber,bad,bett,просить,beg
bedriva,bedriver,bedrev,bedrivit,заниматься,engage in
bedöma,bedömer,bedömde,bedömt,оценивать,appraise
befinna sig,befinner,befann,befunnit,находиться,be situated
befinnas,befinns,befanns,befunnits,оказываться,prove to be
begränsa,begränsar,begränsade,begränsat,ограничивать,limit
begära,begär,begärde,begärt,требовать,demand
begå,begår,begick,begått,совершать дурное,commit
behandla,behandlar,behandlade,behandlat,обращаться,treat
behålla,behåller,behöll,behållit,удерживать,keep
behöva,behöver,behövde,behövt,нуждаться,need
bekräfta,bekräftar,bekräftade,bekräftat,подтверждать,confirm
bekämpa,bekämpar,bekämpade,bekämpat,бороться,combat
bereda,bereder,beredde,berett,подготавливать,prepare
bero,beror,berodde,berott,зависеть,depend
beräkna,beräknar,beräknade,beräknat,вычислять,calculate
berätta,berättar,berättade,berättat,рассказывать,tell
beröra,berör,berörde,berört,касаться,touch
beskriva,beskriver,beskrev,beskrivit,описывать,describe
besluta,beslutar,beslutade,beslutat,решать,decide
beställa,beställer,beställde,beställt,заказывать,reserve
bestämma,bestämmer,bestämde,bestämt,определять,determine
bestå,består,bestod,bestått,длиться,persist
besöka,besöker,besökte,besökt,посещать,visit
beta,betar,betade,betat,пастись,graze
betala,betalar,betalade,betalat,платить,pay
bete sig,beter,betedde,betett,вести себя,behave
betona,betonar,betonade,betonat,акцентировать,emphasize
